Start Date,End Date,Campaign Name,Advert Name,Placement,Reach,Frequency,Impressions,Clicks,Unique Clicks,Click-through Rate (CTR),Unique Click-through Rate (uCTR),Amount Spent (EUR),Actions,People Taking Action,Page Likes,Impression Device,Destination
2015-04-15,2015-04-15,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Desktop Computers,46,1.043478,48,2,2,4.166667,4.347826,0.27,2,2,0,Desktop,No Breakdown
2015-04-14,2015-04-14,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,Android Tablet,No Breakdown
2015-04-14,2015-04-14,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Audience Network on Third-party Mobile Apps,4,2.25,9,0,0,0,0,0,0,0,0,Other,No Breakdown
2015-04-14,2015-04-14,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Desktop Computers,31,2.064516,64,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-04-14,2015-04-14,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,23,1.130435,26,0,0,0,0,0.11,0,0,0,iPhone,No Breakdown
2015-04-14,2015-04-14,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,3,1,3,0,0,0,0,0,0,0,0,iPad,No Breakdown
2015-04-14,2015-04-14,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,8,1,8,0,0,0,0,0.02,0,0,0,Android Smartphone,No Breakdown
2015-04-14,2015-04-14,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,10,1,10,0,0,0,0,0.04,0,0,0,Android Smartphone,No Breakdown
2015-04-14,2015-04-14,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Desktop Computers,77,1.025974,79,0,0,0,0,0.45,0,0,0,Desktop,No Breakdown
2015-04-14,2015-04-14,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,17,2.235294,38,0,0,0,0,0.01,1,1,0,Desktop,No Breakdown
